№,Hours,Minutes,Seconds,Microseconds
90,19,9,56,954551
91,19,9,57,59901
92,19,9,57,165308
93,19,9,57,269956
94,19,9,57,375194
95,19,9,57,478598
96,19,9,57,583180
97,19,9,57,686619
98,19,9,57,787362
99,19,9,57,891564
100,19,9,57,995073
101,19,9,58,96892
102,19,9,58,201859
103,19,9,58,303726
104,19,9,58,407000
105,19,9,58,511367
106,19,9,58,615332
107,19,9,58,720506
108,19,9,58,825674
109,19,9,58,926173
110,19,9,59,31426
111,19,9,59,133894
112,19,9,59,236651
113,19,9,59,341470
114,19,9,59,446760
115,19,9,59,552064
116,19,9,59,654764
117,19,9,59,760047
118,19,9,59,861535
119,19,9,59,965289
120,19,10,0,69788
121,19,10,0,173742
122,19,10,0,278255
123,19,10,0,381982
124,19,10,0,486579
125,19,10,0,587076
126,19,10,0,690843
127,19,10,0,796118
128,19,10,0,898583
129,19,10,1,3690
130,19,10,1,104063
131,19,10,1,207700
132,19,10,1,311584
133,19,10,1,416217
134,19,10,1,519932
135,19,10,1,623663
136,19,10,1,727697
137,19,10,1,829111
138,19,10,1,934427
139,19,10,2,36134
140,19,10,2,140280
141,19,10,2,244900
142,19,10,2,347297
143,19,10,2,448680
144,19,10,2,553285
145,19,10,2,656070
146,19,10,2,761103
147,19,10,2,865766
148,19,10,2,970308
149,19,10,3,73701
150,19,10,3,178968
151,19,10,3,281966
152,19,10,3,385723
153,19,10,3,490300
154,19,10,3,593928
155,19,10,3,695158
156,19,10,3,795440
157,19,10,3,899611
158,19,10,4,4866
159,19,10,4,110177
160,19,10,4,211537
161,19,10,4,311874
162,19,10,4,415278
163,19,10,4,519874
164,19,10,4,623590
165,19,10,4,728687
166,19,10,4,833802
167,19,10,4,938857
168,19,10,5,43491
169,19,10,5,145216
170,19,10,5,245534
171,19,10,5,349949
172,19,10,5,453493
173,19,10,5,554925
174,19,10,5,656876
175,19,10,5,760624
176,19,10,5,865889
177,19,10,5,969854
178,19,10,6,70792
179,19,10,6,171170
180,19,10,6,273664
181,19,10,6,377577
182,19,10,6,478357
183,19,10,6,583688
184,19,10,6,685067
185,19,10,6,790203
186,19,10,6,894558
187,19,10,6,999908
188,19,10,7,103926
189,19,10,7,208835
190,19,10,7,311517
191,19,10,7,415539
192,19,10,7,519788
193,19,10,7,621139
194,19,10,7,723569
195,19,10,7,828283
196,19,10,7,929090
197,19,10,8,34457
198,19,10,8,139382
199,19,10,8,244685
200,19,10,8,349115
201,19,10,8,453236
202,19,10,8,558284
203,19,10,8,661890
204,19,10,8,763726
205,19,10,8,868860
206,19,10,8,974156
207,19,10,9,78508
208,19,10,9,183185
209,19,10,9,287774
210,19,10,9,393057
211,19,10,9,494860
212,19,10,9,600860
213,19,10,9,702454
214,19,10,9,806878
215,19,10,9,909526
216,19,10,10,11798
217,19,10,10,116248
218,19,10,10,219839
219,19,10,10,325956
220,19,10,10,428143
221,19,10,10,531119
222,19,10,10,635128
223,19,10,10,740243
224,19,10,10,844795
225,19,10,10,950143
226,19,10,11,52894
227,19,10,11,154408
228,19,10,11,256857
229,19,10,11,361122
230,19,10,11,464692
231,19,10,11,566813
232,19,10,11,670090
233,19,10,11,774668
234,19,10,11,878118
235,19,10,11,978770
236,19,10,12,81860
237,19,10,12,185412
238,19,10,12,290799
239,19,10,12,394420
240,19,10,12,494827
241,19,10,12,598495
242,19,10,12,703994
243,19,10,12,807971
244,19,10,12,911665
245,19,10,13,12626
246,19,10,13,117872
247,19,10,13,220647
248,19,10,13,325905
249,19,10,13,428411
250,19,10,13,531450
251,19,10,13,636415
252,19,10,13,740922
253,19,10,13,846019
254,19,10,13,951235
255,19,10,14,53688
256,19,10,14,154068
257,19,10,14,255732
258,19,10,14,357445
259,19,10,14,460368
260,19,10,14,561435
261,19,10,14,665158
262,19,10,14,771390
263,19,10,14,876688
264,19,10,14,978100
265,19,10,15,82409
266,19,10,15,187733
267,19,10,15,289391
268,19,10,15,390161
269,19,10,15,494758
270,19,10,15,598509
271,19,10,15,704026
272,19,10,15,807082
273,19,10,15,910495
274,19,10,16,15416
275,19,10,16,119730
276,19,10,16,220129
277,19,10,16,325039
278,19,10,16,430298
279,19,10,16,532247
280,19,10,16,636398
281,19,10,16,736742
282,19,10,16,841948
283,19,10,16,947165
284,19,10,17,52437
285,19,10,17,156242
286,19,10,17,261380
287,19,10,17,364730
288,19,10,17,468947
289,19,10,17,573450
290,19,10,17,678064
291,19,10,17,782052
292,19,10,17,884685
293,19,10,17,986886
294,19,10,18,87643
295,19,10,18,190129
296,19,10,18,294714
297,19,10,18,400028
298,19,10,18,505096
299,19,10,18,608223
300,19,10,18,710332
